Carandaí;74.27
Luminárias;74.27
Medina;74.27
Tabuleiro;74.27
Bocaiúva;74.29
Heliodora;74.29
São João da Mata;74.29
Mutum;74.3
Nepomuceno;74.3
Esmeraldas;74.31
Ribeirão das Neves;74.31
Naque;74.32
Santana do Garambéu;74.32
Alvinópolis;74.34
Bom Jardim de Minas;74.34
Abre Campo;74.36
Acaiaca;74.36
Barra Longa;74.36
Divino;74.36
Raul Soares;74.36
Santa Rita de Caldas;74.36
Santo Antônio do Grama;74.36
São Domingos do Prata;74.36
São José do Mantimento;74.36
Simonésia;74.36
Aracitaba;74.37
Central de Minas;74.37
Ewbank da Câmara;74.37
Olaria;74.37
Santa Bárbara do Monte Verde;74.37
Paula Cândido;74.38
Casa Grande;74.39
Cristiano Otoni;74.39
Ibituruna;74.39
Itambé do Mato Dentro;74.39
Queluzito;74.39
Santo Antônio do Amparo;74.39
Santo Antônio do Rio Abaixo;74.39
Coronel Xavier Chaves;74.4
Dores de Campos;74.4
Resende Costa;74.4
Capelinha;74.41
Careaçu;74.41
Paineiras;74.41
Senador José Bento;74.41
Oratórios;74.42
Piau;74.42
Alpercata;74.43
São Geraldo do Baixio;74.43
Joaquim Felício;74.44
Santo Hipólito;74.44
Teófilo Otoni;74.45
Nova Era;74.48
São Tiago;74.48
Coimbra;74.49
Capitólio;74.51
Conceição de Ipanema;74.51
Guimarânia;74.51
Iguatama;74.51
Itueta;74.51
Mar de Espanha;74.51
Carlos Chagas;74.55
Sem-Peixe;74.57
Santa Rita de Jacutinga;74.58
Campo do Meio;74.61
Ilicínea;74.61
Tumiritinga;74.63
Barão de Monte Alto;74.64
Miradouro;74.64
Pedra Dourada;74.64
São Sebastião da Vargem Alegre;74.64
Catas Altas;74.65
Pirapora;74.65
Itabirito;74.68
Lagoa Dourada;74.68
Alto Rio Doce;74.7
Ervália;74.7
Lamim;74.7
São Miguel do Anta;74.7
Turvolândia;74.71
Inhapim;74.72
Ipaba;74.72
Tarumirim;74.72
União de Minas;74.73
Virgínia;74.73
Dores do Turvo;74.75
Senador Firmino;74.75
Guarda-Mor;74.76
Antônio Prado de Minas;74.79
Confins;74.79
Morada Nova de Minas;74.79
Santa Rita do Sapucaí;74.8
Belmiro Braga;74.81
Candeias;74.81
Nazareno;74.82
Campanário;74.85
Itanhomi;74.85
Mercês;74.85
Nacip Raydan;74.85
Pescador;74.85
São Geraldo;74.85
Guapé;74.86
Virginópolis;74.86
Jesuânia;74.88
Presidente Olegário;74.88
Soledade de Minas;74.88
Lagoa da Prata;74.89
Raposos;74.9
São Sebastião do Oeste;74.9
Lagoa Formosa;74.91
Alagoa;74.93
Pimenta;74.93
Contagem;74.94
Cruzeiro da Fortaleza;74.94
Gonçalves;74.96
Papagaios;74.96
São Francisco do Glória;74.96
Baependi;74.97
Caiana;74.98
Gouveia;74.98
Mário Campos;74.99
Resplendor;74.99
Sabará;74.99
Itatiaiuçu;75.0
Luz;75.0
Serrania;75.0
Alfredo Vasconcelos;75.01
Bom Jesus do Amparo;75.01
Bonfim;75.01
Conceição do Rio Verde;75.01
Ibertioga;75.01
Liberdade;75.01
Ressaquinha;75.01
Serro;75.01
Cachoeira da Prata;75.02
Santana do Riacho;75.02
Ouro Preto;75.03
Formoso;75.04
Limeira do Oeste;75.04
Arantina;75.05
Pompéu;75.05
Senador Cortes;75.05
Serranos;75.05
Governador Valadares;75.06
Indianópolis;75.06
Rio Novo;75.07
Nova Ponte;75.08
